DATE,WIND,RAIN,T.MAX,T.MIN
01-01-2020,13.67,0.2,9.5,3.7
02-01-2020,11.5,5.1,7.2,4.2
03-01-2020,11.25,0.4,5.5,0.5
04-01-2020,8.63,0.2,5.6,0.4
05-01-2020,11.92,10.4,7.2,-1.5
06-01-2020,10.67,0,6.5,1.2
07-01-2020,9.17,1.9,9.2,-2.4
08-01-2020,14.29,0,6.6,3.1
09-01-2020,8.04,8.3,6.8,2.4
10-01-2020,11.42,0,6.5,3
11-01-2020,7.54,0.5,10,-3.1
12-01-2020,15.54,6,12.2,-3.3
13-01-2020,4.63,0,13.1,5.5
14-01-2020,3.08,0,5.6,-3.2
15-01-2020,2.5,0,4.4,-5
16-01-2020,9.25,0,4.6,-4.2
17-01-2020,13.42,2,9.3,3.2
18-01-2020,17.83,8.4,10.1,4.3
19-01-2020,3.71,0.9,6.6,1.6
20-01-2020,3.17,21.5,9.3,-0.6
21-01-2020,8.04,0.2,10.1,1.6
22-01-2020,9.38,0.3,6.5,5.5
23-01-2020,13.7,0,6.5,5.5
24-01-2020,20.38,9.5,5.3,3.4
25-01-2020,9.25,0,4.3,2.2
26-01-2020,14.33,0.7,13,2.2
27-01-2020,16.79,1.5,12.3,3.7
28-01-2020,12.25,2.8,12,4.8
29-01-2020,22,6.2,12.6,4.4
30-01-2020,14.5,1.4,7.8,3.7
31-01-2020,14.88,4.7,7.2,2.1
01-02-2020,10.17,2.1,8.7,1
02-02-2020,10.88,0.1,8.1,1
03-02-2020,8.5,4,8.1,-0.6
04-02-2020,12.54,5.7,11.3,0
05-02-2020,13.96,8.6,13.5,4.7
06-02-2020,19.17,0.5,7.8,2.1
07-02-2020,14.21,0.3,11.6,3.2
08-02-2020,16.5,4.4,14.6,4.4
09-02-2020,14.37,0.3,11.7,6.4
10-02-2020,11.08,0.8,10.7,7.3
11-02-2020,17.5,3.5,11.3,7.3
12-02-2020,11.71,0,15.5,7.1
13-02-2020,16.08,0,12.7,8.8
14-02-2020,15.46,0,13.3,10
15-02-2020,5.17,0,13.8,2.5
16-02-2020,3.42,0,12.1,2.5
17-02-2020,6.17,0,11.7,4.4
18-02-2020,10.88,0,13.3,6
19-02-2020,9.62,0,14.5,8.2
20-02-2020,7.25,0,13.1,5.3
